vehicle_id,speed,time_from_spawn,color,type
192,0.0,1766.0,-1#-1#0#-1,car
590,0.0,1368.0,-1#-1#0#-1,car
591,0.0,1367.0,-1#-1#0#-1,car
472,0.0,1486.0,-1#-1#0#-1,car
353,0.0,1605.0,-1#-1#0#-1,car
474,0.0,1484.0,-1#-1#0#-1,car
595,0.0,1363.0,-1#-1#0#-1,car
354,0.0,1604.0,-1#-1#0#-1,car
475,0.0,1483.0,-1#-1#0#-1,car
596,0.0,1362.0,-1#-1#0#-1,car
597,0.0,1361.0,-1#-1#0#-1,car
630,7.117509881619753,1328.0,-1#-1#0#-1,car
356,0.0,1602.0,-1#-1#0#-1,car
510,0.0,1448.0,-1#-1#0#-1,car
598,0.0,1360.0,-1#-1#0#-1,car
631,0.0,1327.0,-1#-1#0#-1,car
632,0.0,1326.0,-1#-1#0#-1,car
634,0.0,1324.0,-1#-1#0#-1,car
118,0.0,1840.0,-1#-1#0#-1,car
635,0.0,1323.0,-1#-1#0#-1,car
517,1.5738596274475264E-4,1441.0,-1#-1#0#-1,car
360,0.0,1598.0,-1#-1#0#-1,car
362,0.0,1596.0,-1#-1#0#-1,car
484,0.0,1474.0,-1#-1#0#-1,car
486,0.0,1413.5,-1#-1#0#-1,car
640,0.0,1318.0,-1#-1#0#-1,car
245,0.0,1713.0,-1#-1#0#-1,car
487,0.0,1471.0,-1#-1#0#-1,car
520,0.0,1432.5,-1#-1#0#-1,car
400,0.0,1558.0,-1#-1#0#-1,car
643,0.0,1260.5,-1#-1#0#-1,car
248,0.0,1710.0,-1#-1#0#-1,car
402,0.0,1556.0,-1#-1#0#-1,car
523,10.49321818601484,1435.0,-1#-1#0#-1,car
644,7.588941550983182E-4,1314.0,-1#-1#0#-1,car
524,0.0,1434.0,-1#-1#0#-1,car
525,0.0,1433.0,-1#-1#0#-1,car
646,0.0,1312.0,-1#-1#0#-1,car
647,0.0,1311.0,-1#-1#0#-1,car
527,0.0,1431.0,-1#-1#0#-1,car
648,0.0,1310.0,-1#-1#0#-1,car
407,0.0,1551.0,-1#-1#0#-1,car
370,0.0,1588.0,-1#-1#0#-1,car
491,0.0,1467.0,-1#-1#0#-1,car
373,0.0,1585.0,-1#-1#0#-1,car
494,1.3,1444.0,-1#-1#0#-1,car
375,0.0,1583.0,-1#-1#0#-1,car
650,0.0,1308.0,-1#-1#0#-1,car
255,0.0,1703.0,-1#-1#0#-1,car
497,0.0,1461.0,-1#-1#0#-1,car
499,0.006874525751760321,1459.0,-1#-1#0#-1,car
